uid,active_days,avg_duration,sessions,avg_pageview,total_pageview,avg_event,total_event,mobile,tablet,desktop,Email,(Other),Paid Search,Organic Search,Referral,Social,Direct,forum,triage,community
000708d176f8010cb95adfa271ad797d,1,145.0,1,3.0,3,2.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
001291be71d38604bc02f7c469b80704,1,15.5,2,1.0,2,0.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0
00310de616cf03e7740b739ead30aed2,121,102.75,4,1.75,7,1.0,4,1,0,0,0,0,0,0,1,0,1,1,0,0
00328efeb249f607b41564c486a73322,7,67.25,4,1.25,5,1.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0
003eb8138953601befd26174f9eab5b5,13,1.0,3,1.0,3,0.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
004e0a17cac819059d24a0831b35413f,421,96.3,10,3.0,30,1.6,16,0,0,1,0,0,1,1,1,0,0,0,0,0
00507ad2fe00eb029c6193e0972c9845,1,825.36,11,8.27,91,1.09,12,1,1,1,0,0,0,1,0,0,0,1,0,0
005db6ac47d4db3fa9b056566e04190a,5,45.0,2,1.5,3,1.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0062994644701614b8ed5a2cd4b33e65,13,410.0,4,1.75,7,1.0,4,1,0,1,0,0,0,1,0,0,0,0,0,0
00649a85d94734f03905560d373aaaff,164,26.75,4,2.25,9,0.5,2,0,0,1,0,0,1,1,1,0,0,0,0,0
0065509b567f139d377b15bb09c8ddfc,1,15.0,2,1.0,2,0.5,1,1,0,0,0,0,1,0,0,0,1,0,0,0
00663379ca1c8fd0fffd388dab4ff14c,251,503.12,8,4.12,33,1.38,11,1,0,1,0,0,1,0,0,0,1,1,0,0
00726d3525ea57382b702d49560fdbef,2,78.5,2,2.5,5,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0
00730edea1dafb3ec9d6e60c8194ef58,2,4.67,3,1.33,4,0.33,1,0,0,1,0,0,0,0,0,0,1,0,0,0
007ac5d77a9a061d454df43e8156733c,1,36.0,1,2.0,2,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
007f89a854d5dcba56e806a4b814193b,1,42.0,1,2.0,2,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
008f48e67b89484d817478a9d058b8a0,1,62.0,1,3.0,3,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0090140ff740ca5f8fce8a5c1e3eb27c,43,141.73,11,9.0,99,1.73,19,1,0,1,0,0,0,1,0,1,1,0,0,0
0095d8381e9645917e7e9602e3bc1a52,11,232.64,11,2.91,32,0.64,7,1,0,0,0,0,0,0,0,0,1,1,0,0
00a5528f39d9ab78da0d3d31ce7f9471,157,356.4,5,2.6,13,1.0,5,1,0,1,0,0,0,1,0,0,1,0,0,0
00b2b454007fb714c0fab2038f4927c7,1,56.5,2,1.5,3,1.0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
00c1c23a5582dcace67738b2beefa861,1,85.0,1,3.0,3,2.0,2,1,0,0,0,0,1,0,0,0,0,1,0,0
00c82adad35968ed5e3dd67b83906dbd,8,565.73,22,6.05,133,1.05,23,1,0,0,0,0,0,1,0,0,0,1,0,0
00c992f15140b15d80a56dcf231a379f,1,314.5,2,4.0,8,1.0,2,0,0,1,0,0,0,1,0,0,1,0,0,0
00d469f9b1fa0f4df40ef2330927987c,1,10.0,1,3.0,3,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
00e1982aefbfa584d590b194510cd3d7,1,13.0,1,1.0,1,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
00e6a259529b5bb4f346df8e96e51f52,1,991.2,5,12.0,60,3.6,18,1,0,0,0,0,0,0,0,0,1,1,0,0
00ea409ded81cc106f783b7631706f2a,1,1.0,2,1.0,2,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
00ee09b0eae59e8c2a9b97ed32b44b31,262,680.75,4,3.25,13,1.5,6,1,0,0,0,0,0,1,0,0,0,1,0,0
00eee69c2f3b51267142dde6e59b93f9,3,279.75,4,4.25,17,0.25,1,1,0,1,0,0,0,0,0,0,1,1,0,0
00f59a99774dd919af865410d188b819,1,28.0,1,1.0,1,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0110b63ef42e033b000bc1162173db2b,1,71.5,2,3.5,7,1.0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
011d463823803d25e52aed1809a12090,1,291.0,1,2.0,2,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
012a363175ab8c0dbbbd51b6201389ba,1,525.5,2,3.0,6,2.0,4,1,0,0,0,0,0,1,0,0,0,0,0,0
012a3b227881a912b8e38cf314ed213a,1,11.0,1,2.0,2,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
012cb79c799371d231cc1a4da85430bd,7,198.0,3,4.33,13,2.67,8,0,0,1,0,0,0,1,0,0,1,0,0,0
013d14ca22110bb4b4616654227b482d,1,57.33,3,4.33,13,1.0,3,1,0,0,0,0,0,0,0,0,1,1,0,0
0143cff45a83b16bb9f5154d7c594616,1,160.0,1,3.0,3,1.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
015ac9fedb812c085bd041937e5be880,1,337.0,1,4.0,4,4.0,4,0,0,1,0,0,0,0,1,0,0,0,0,0
01a9f7bfe1aec7321de253d23ef17e76,46,20.0,3,1.0,3,0.67,2,0,0,1,0,0,0,0,0,0,1,0,0,0
01abfe48bb2bcc5c769eebc9ed5c4718,117,191.22,27,2.74,74,0.96,26,0,0,1,0,0,1,1,1,0,0,0,0,0
01bff1e995d45f49fa4cb7a27b0225e1,1,15.5,2,1.0,2,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0
01c93a715634b4db5581d3ac54316968,114,22.75,4,1.75,7,0.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0
01d5563e3bbc16e778bdad6c2c8698db,1,49.0,1,2.0,2,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
01d925604310bfa5fa24b9c87ca24fcb,4,374.06,17,4.65,79,1.53,26,1,0,1,0,0,0,0,1,0,0,1,0,0
01e55650b6e6a93246ba7804dfd089f5,1,152.33,3,4.67,14,1.67,5,0,0,1,0,0,0,0,0,0,1,1,0,0
01eb5d73f53a51cdaa4ccce69a7e38e3,2,728.5,4,4.5,18,1.5,6,1,0,0,0,0,0,0,0,0,1,1,0,0
01f69fd81f3b27e7246ee7dd1387f49d,1,739.0,1,5.0,5,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0211a531d9da3e84262aef433842b295,1,195.0,1,5.0,5,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
